Date,Open,High,Low,Close
10/22/18,1669.82,1674.25,1654.90,1658.56
10/19/18,1680.12,1681.92,1664.09,1667.91
10/18/18,1692.15,1694.67,1681.24,1682.91
10/17/18,1708.09,1710.39,1695.04,1695.04
10/16/18,1697.56,1701.57,1689.83,1697.87
10/12/18,1690.28,1699.60,1688.44,1696.16
10/11/18,1679.27,1688.63,1673.59,1682.89
10/10/18,1709.34,1721.82,1707.63,1721.82
10/09/18,1699.99,1708.72,1690.92,1696.92
10/08/18,1719.71,1728.24,1696.20,1696.22
10/05/18,1726.41,1732.36,1718.12,1720.52
10/04/18,1735.74,1740.59,1720.13,1729.40
10/03/18,1753.79,1757.43,1741.96,1741.96
10/02/18,1757.33,1762.24,1746.06,1748.09
10/01/18,1762.30,1765.06,1757.74,1760.47
09/28/18,1757.60,1758.95,1751.09,1756.41
09/27/18,1751.70,1753.16,1735.58,1752.95
09/26/18,1752.52,1755.57,1746.99,1749.93
09/25/18,1753.66,1756.85,1745.73,1747.99
09/24/18,1751.29,1759.51,1748.52,1749.42
09/21/18,1758.80,1766.62,1753.32,1756.12
09/20/18,1757.42,1762.17,1749.72,1752.11
09/19/18,1749.63,1762.72,1747.47,1749.80
09/18/18,1718.49,1748.76,1716.75,1744.42
09/17/18,1717.99,1725.03,1711.57,1718.39
09/14/18,1724.83,1727.83,1718.11,1722.21
09/13/18,1691.04,1723.48,1690.84,1717.96
09/12/18,1672.04,1680.54,1666.07,1679.39
09/11/18,1690.65,1694.86,1672.40,1672.42
09/10/18,1686.78,1692.16,1680.50,1691.51
09/07/18,1687.95,1694.56,1683.58,1689.49
09/06/18,1685.38,1694.05,1676.67,1693.94
09/05/18,1709.26,1711.37,1685.95,1686.37
